planting_date,harvest_date,fertilizer_kg_ha,irrigation_m3_ha,total_precip_mm,avg_temp_max_C,total_sunshine_h,yield_kg_ha
2010-09-25,2011-01-07,83.31,394.26,522.2000000000044,27.257142857143133,999.9061666666967,2311.78
2010-05-10,2010-09-04,115.84,345.23,863.9000000000015,28.233898305084423,1124.103680555556,2082.93
2018-11-23,2019-04-10,69.14,335.55,241.19999999997526,28.175539568345492,1512.8845638888452,2276.84
2002-07-19,2002-12-10,75.33,142.21,1160.900000000007,27.55448275862095,1429.6803361110979,2518.12
2009-07-16,2009-12-06,135.69,135.18,852.2000000000007,27.797916666666627,1417.6350749999765,2618.08
2008-01-02,2008-05-08,65.65,409.22,673.4999999999927,27.571093750000045,1289.6805472222113,2633.25
2017-01-24,2017-06-12,153.76,323.9,646.6000000000422,28.456428571427907,1477.5780805555405,2718.81
2007-04-04,2007-08-03,186.93,366.84,796.9000000000124,28.403278688524566,1204.8737444444341,3005.91
2000-05-20,2000-09-17,53.06,366.76,715.5000000000009,27.734710743801696,1220.4710638888937,2584.94
2007-05-01,2007-09-17,56.24,324.99,952.9000000000196,28.1807142857141,1371.1250861111039,2451.41
2004-11-18,2005-03-15,53.6,442.23,697.2000000000025,27.49576271186453,1156.9556250000132,1878.78
2016-07-11,2016-11-04,144.97,167.49,716.1999999999753,27.67948717948693,1181.7306027777959,2836.64
2007-03-02,2007-07-05,171.2,489.66,590.2000000000007,28.487301587301424,1297.8980472222102,3177.88
2002-04-05,2002-08-15,107.36,272.11,681.9000000000042,28.314285714285955,1341.0036277777763,2609.68
1999-11-12,2000-03-30,174.22,467.26,671.3000000000025,27.31071428571426,1432.3976972222208,2467.43
2010-08-22,2010-12-08,131.92,141.28,584.5000000000036,27.426605504587023,1041.0610611111188,1892.11
2011-03-23,2011-08-06,95.5,489.3,569.7999999999774,28.229927007300333,1459.806330555526,2144.83
2002-09-22,2002-12-29,123.86,327.86,1177.800000000001,27.45151515151505,865.4417861111106,2349.32
2019-01-21,2019-06-20,117.0,130.67,462.29999999999563,28.79867549668859,1589.2470194444177,2966.27
2004-05-17,2004-08-17,145.69,443.34,413.9000000000069,27.89677419354817,961.3500500000082,2930.96
2007-09-11,2007-12-27,123.92,130.4,666.6999999999825,27.590740740740497,1065.3546833333094,1982.2
1999-01-22,1999-04-25,128.55,158.65,217.60000000000173,27.87978723404256,1010.7543305555532,2037.67
2012-06-09,2012-09-11,113.22,355.86,345.60000000000946,28.08842105263029,997.8700055555164,2080.12
2021-08-18,2021-12-27,176.37,417.05,876.8999999999869,28.181818181819505,1267.8272388888727,2911.51
2016-03-12,2016-08-01,152.86,482.0,788.1000000000204,28.987412587412262,1431.1120277777518,2808.74
2005-05-15,2005-08-20,197.97,458.1,535.9999999999909,28.20204081632656,1007.9471166666626,2640.31
2016-03-09,2016-08-06,73.4,459.23,791.4000000000233,28.969536423840637,1520.6238111111015,2620.09
2013-04-14,2013-08-30,187.0,304.46,750.8000000000102,28.043884892085117,1404.670813888908,2726.36
2009-11-10,2010-03-30,76.66,494.69,422.89999999999054,27.958865248226928,1445.0939527777518,2185.39
2016-11-06,2017-03-17,63.52,394.71,759.4000000000015,27.578030303030214,1288.665386111199,1786.85
2005-09-20,2006-01-18,114.07,261.31,898.9000000000015,27.21404958677705,1219.5576666666675,2337.51
2016-02-07,2016-06-26,77.19,110.33,611.8000000000247,29.110638297872175,1452.119341666592,2448.67
2012-07-04,2012-10-08,165.02,473.98,380.0000000000109,28.09896907216501,1022.8527666666268,2257.24
2000-01-16,2000-04-24,61.78,184.74,335.69999999999936,27.85600000000006,1045.9837333333326,2052.15
2011-02-06,2011-07-03,92.67,461.33,428.19999999998254,28.100000000001103,1626.9383583333401,2518.29
2009-01-10,2009-05-26,185.21,259.51,362.2000000000007,28.140875912408994,1454.762277777787,2167.63
2007-09-24,2008-01-17,76.59,365.81,746.9999999999818,27.4525862068963,1134.1903194444312,1982.3
2003-11-09,2004-02-23,138.62,454.42,505.0,27.405607476635257,1097.133091666663,2138.88
2021-12-02,2022-04-30,167.92,422.39,435.79999999998836,28.474000000000427,1599.4442833333742,2815.95
1999-12-15,2000-03-24,171.99,485.98,353.300000000002,27.389108910891082,1041.2704888888875,2633.99
2012-02-10,2012-07-01,59.26,367.12,434.7999999999847,28.328671328670513,1520.812508333307,2001.0
2008-03-07,2008-06-28,176.05,352.72,755.4999999999964,27.999999999999744,1142.9688333333324,2874.6
2015-07-14,2015-10-19,63.39,426.12,688.4999999999854,28.089795918367823,976.1264388888958,2574.86
2003-03-01,2003-06-12,53.29,289.49,572.3000000000029,28.614423076922883,1082.6978694444515,1902.57
2011-07-14,2011-11-10,81.7,234.36,711.6000000000058,27.892500000000535,1195.4258805555364,2339.09
2011-09-05,2011-12-24,142.81,393.6,1131.5999999999985,27.83783783783784,1024.0672277777849,2584.78
1999-04-27,1999-08-01,111.56,176.69,461.4999999999977,27.702061855670127,1013.2304944444486,2070.96
2014-12-19,2015-04-01,146.8,189.92,256.6999999999789,27.714423076924085,1098.115536111116,2467.76
2003-10-09,2004-02-25,133.05,100.47,699.9999999999945,27.464285714285403,1422.6056972222323,2658.86
2003-10-12,2004-02-09,176.69,404.4,667.8999999999942,27.40661157024761,1211.4497138888983,3072.71
2008-11-27,2009-04-01,115.19,454.05,316.90000000000873,27.550793650794297,1348.5079555555567,2427.08
2003-02-28,2003-07-26,94.46,251.69,813.3000000000029,28.49060402684553,1531.7596611111258,1621.18
2003-04-21,2003-08-30,145.45,140.78,809.2000000000025,28.36893939393904,1331.9529666666895,2451.77
2008-04-14,2008-08-30,101.97,231.49,823.1999999999971,28.0122302158269,1403.443330555543,2354.44
2007-04-25,2007-08-21,140.03,414.96,763.0000000000073,28.288235294117673,1181.7710138888797,2078.01
2016-05-14,2016-08-27,190.16,400.98,713.3999999999942,28.35754716981154,1028.0853583333228,2696.15
2018-11-23,2019-04-06,126.6,130.38,241.19999999997526,28.128888888889062,1466.7774388888356,2484.37
2023-08-11,2023-11-20,51.3,153.16,1113.5,28.544117647058822,881.911180555544,2134.1
2011-02-17,2011-05-24,91.82,322.97,331.9999999999927,28.115463917527094,1062.7646916666781,2319.59
2001-07-30,2001-11-11,165.69,485.39,615.0000000000009,27.579047619047785,1087.782108333331,2773.65
2005-06-15,2005-11-04,199.62,309.91,647.2999999999975,27.7748251748254,1495.8812166666576,2418.99
2019-06-28,2019-11-18,83.33,326.34,1036.399999999987,28.30833333333289,1305.2241638889245,2321.52
2021-08-22,2021-12-17,79.86,485.49,861.9999999999927,28.19661016949261,1111.8309111110866,2473.65
