planting_date,harvest_date,fertilizer_kg_ha,pesticide_l_ha,total_precip_mm,avg_temp_max_C,total_sunshine_h,yield_kg_ha
2008-06-25,2008-11-07,60.87,32.08,582.2000000000116,27.8735294117643,1361.044938888881,3182.76
2011-06-12,2011-09-23,131.72,32.83,515.0999999999913,27.99807692307709,1081.862188888852,3296.22
2000-12-02,2001-03-25,87.1,41.74,249.60000000000127,27.53859649122802,1217.792847222223,2772.19
2007-03-31,2007-08-24,93.12,49.72,871.1000000000058,28.35034013605442,1474.7463083333205,2707.57
2015-05-26,2015-09-23,141.86,6.59,705.5999999999985,28.319834710743418,1260.1899722222151,3170.21
2020-09-08,2020-12-25,76.72,11.99,617.9000000000015,28.175229357797416,1077.2764611111634,3065.73
2020-03-02,2020-06-27,151.06,40.24,551.3000000000175,29.174576271187725,1246.830286111188,3861.93
2013-08-09,2013-11-18,171.39,44.55,612.4999999999927,27.472549019607385,1058.4618527777711,3349.2
2002-03-09,2002-08-03,84.35,0.85,688.7000000000044,28.381081081081188,1509.5226972222226,3672.0
2000-02-18,2000-07-06,70.67,25.83,634.1000000000004,28.207142857142856,1440.4086083333286,3271.91
2012-10-07,2013-02-11,92.15,30.12,1077.3999999999833,27.521093750000546,1212.903727777746,2813.26
2017-03-12,2017-06-26,119.35,1.04,402.20000000004075,28.793457943924636,1162.7309083332948,2588.79
1999-11-17,2000-02-28,51.82,36.35,621.6000000000022,27.07980769230765,1037.2093611111104,2900.15
2007-09-20,2008-02-10,146.88,16.53,786.9999999999782,27.406249999999698,1430.4442277777562,3428.37
2000-10-25,2001-03-07,193.85,23.61,458.1000000000013,27.456716417910425,1374.8447888888968,3164.86
2004-03-15,2004-07-18,123.51,33.44,527.6000000000004,28.440476190475845,1341.2669472222406,2602.28
2005-07-02,2005-11-14,86.77,28.33,690.3999999999996,27.68088235294154,1409.9730694444443,3702.41
2002-07-04,2002-10-03,64.7,13.94,379.8000000000029,27.788043478261343,970.4274444444345,2953.26
2019-07-07,2019-10-28,190.47,45.86,804.2999999999956,28.35526315789448,1016.8710277778155,3678.54
2000-04-07,2000-07-30,157.17,40.77,633.5999999999995,28.166086956521728,1193.5021694444404,3019.99
2007-01-24,2007-04-25,99.68,12.09,106.799999999992,27.94782608695665,1014.4596527777612,3248.58
2000-07-07,2000-10-21,93.9,23.1,625.2999999999984,27.546728971962718,1078.8942166666748,3547.59
2007-09-08,2008-01-01,82.19,19.58,761.7999999999847,27.564655172413417,1135.5175472222036,3605.75
2013-08-09,2013-12-07,60.92,31.36,707.1999999999935,27.477685950412646,1253.2651333333342,2718.86
2023-01-05,2023-04-25,77.14,21.39,317.199999999968,28.184684684683898,1164.774122222254,3020.44
2017-09-02,2017-12-26,190.83,46.42,741.2999999999738,28.11896551724178,1106.2961583333527,3590.39
2005-08-29,2006-01-05,113.61,16.96,747.3000000000084,27.30769230769253,1322.9903333333277,3510.16
2008-11-03,2009-02-19,182.56,40.86,502.00000000000364,27.298165137614678,1116.357700000015,2511.73
1999-01-26,1999-05-27,78.95,22.29,354.6000000000017,27.95163934426231,1321.0165361111103,2180.08
2012-07-11,2012-11-03,154.45,45.78,777.2999999999956,27.981034482758773,1159.965841666628,3551.34
2015-03-11,2015-07-12,100.54,35.05,538.1000000000131,28.7516129032259,1320.9352555555452,2314.76
2007-07-29,2007-11-05,150.45,3.77,572.9999999999964,27.816999999999535,989.9086444444401,2363.36
2002-01-24,2002-06-17,104.44,39.25,650.5000000000036,28.184827586207017,1477.0152888888879,3124.15
2019-03-06,2019-06-04,148.17,19.28,349.40000000000146,29.21978021978054,949.1324611111195,2977.48
2013-05-21,2013-10-01,91.6,18.64,639.3000000000029,27.698507462686177,1394.5270972222352,2386.96
2000-09-01,2000-12-26,73.36,17.12,594.6999999999989,27.57094017094029,1156.2260694444558,2424.34
2010-10-03,2011-02-22,135.38,34.94,574.1000000000095,27.12587412587433,1401.3917916666906,2956.4
2005-06-27,2005-11-10,56.65,18.62,652.3999999999996,27.718248175182758,1426.2456166666598,2856.53
2016-04-13,2016-08-05,114.98,32.1,763.8000000000175,28.81304347826087,1108.2578694444383,3009.71
1999-01-28,1999-05-04,143.87,14.62,220.80000000000155,27.989690721649502,1064.1789777777758,2224.52
2008-07-07,2008-10-15,53.44,32.84,428.3000000000102,27.84257425742537,1045.8940555555528,2278.67
2013-04-20,2013-08-19,62.74,20.12,665.3000000000175,28.01393442622841,1218.2886805555681,3032.11
2020-02-05,2020-06-17,90.33,17.13,548.3000000000029,29.015671641792174,1425.6805777778645,2494.65
1998-01-05,1998-05-27,83.33,7.25,320.19999999999993,28.902097902097907,1545.89953888889,3001.98
2020-10-11,2021-01-22,126.53,0.63,729.1999999999898,28.046153846153455,987.2336083333503,2533.59
2011-02-26,2011-06-26,104.59,45.03,418.3999999999869,28.260330578513358,1324.014716666672,3268.35
2017-02-10,2017-06-17,164.78,7.96,576.6000000000422,28.578906249999818,1363.6512305555225,3200.59
2015-02-15,2015-07-03,148.42,38.42,496.3000000000102,28.61438848920922,1494.2087583333123,3406.07
2023-07-12,2023-10-29,199.01,32.25,923.0000000000146,28.769090909090963,1006.8643999999622,3113.86
2007-05-11,2007-08-24,151.37,29.25,620.6000000000095,28.18679245283008,1056.1949999999779,2536.02
2010-04-24,2010-08-15,115.24,45.66,896.6999999999971,28.50087719298225,1101.1987249999802,3082.15
1999-01-31,1999-05-10,176.87,48.33,268.50000000000136,28.000000000000018,1093.6344916666644,3253.85
2019-12-07,2020-03-26,116.56,38.68,391.39999999997235,28.262162162162475,1146.4724694444885,2665.7
2005-06-26,2005-10-31,51.47,42.71,603.8999999999978,27.739062500000387,1342.6978249999884,2187.51
2017-07-18,2017-11-09,68.88,43.54,606.0999999999985,28.296521739130487,1149.3507472222263,3015.23
1998-05-07,1998-08-26,108.55,7.22,800.3000000000002,28.474999999999998,1052.962030555556,2372.36
2005-10-20,2006-02-02,93.35,25.22,802.2000000000025,27.072641509434483,1063.100322222217,2394.06
2014-02-03,2014-06-23,115.07,44.41,411.2999999999993,28.37517730496491,1552.3418083333236,2960.68
2012-06-12,2012-09-19,81.95,25.28,377.0000000000109,28.05799999999872,1052.3089888888426,3159.27
2002-09-01,2002-12-16,181.75,18.59,1075.5,27.520560747663524,1018.0200888888721,2965.57
2022-06-04,2022-09-17,144.24,17.21,797.7999999999956,28.003773584905606,1005.3048999999301,2972.81
2014-02-18,2014-05-31,81.57,19.01,379.6000000000022,28.455339805824902,1121.191072222231,3070.81
2019-07-25,2019-10-23,137.56,2.81,602.599999999984,28.295604395603693,835.0864750000474,3203.02
2013-01-12,2013-06-02,97.41,8.33,565.5000000000182,28.37253521126736,1470.5190999999977,3273.07
1999-05-30,1999-09-25,124.85,48.56,646.8999999999974,27.47899159663867,1202.5644277777792,2530.92
2009-07-08,2009-12-01,97.29,4.9,862.7000000000007,27.827210884353782,1450.7165333333178,2869.51
2000-08-14,2000-12-20,60.05,29.52,657.8999999999987,27.565116279069862,1277.2880277777895,2271.59
2012-05-25,2012-09-04,59.28,38.1,470.0,28.110679611649015,1055.6631999999736,2878.18
2003-07-17,2003-10-20,143.11,12.96,408.90000000000146,27.92083333333297,1001.8153527777868,3196.99
1999-11-17,2000-03-10,83.12,36.68,644.6000000000031,27.16260869565215,1150.547527777775,3395.07
2017-06-09,2017-10-21,119.92,47.93,614.1999999999971,28.382962962963266,1414.2963250000175,2827.96
1998-10-05,1999-01-07,192.91,19.94,854.5000000000011,27.22105263157894,864.2306305555553,2313.91
2018-03-22,2018-08-09,101.67,7.8,869.9999999999491,28.590780141843478,1407.7806194444129,3553.31
2010-07-03,2010-11-11,130.34,35.03,644.4999999999964,27.706818181817873,1326.231416666662,3032.9
1998-01-10,1998-05-16,177.85,47.03,248.5999999999999,28.86377952755906,1372.9797722222233,3346.21
2016-03-23,2016-07-16,131.05,21.88,683.900000000016,29.09568965517221,1150.2851555554953,2263.78
1998-01-02,1998-04-21,78.45,27.77,173.89999999999992,28.63454545454546,1219.9176166666675,2517.02
2019-08-17,2019-11-16,57.11,43.66,751.8999999999869,28.067391304347005,819.7796861111419,3330.13
2023-11-27,2024-04-24,98.86,18.37,870.3999999999942,28.961333333334963,1521.2885861110844,3179.12
2000-12-17,2001-05-02,153.23,20.64,462.300000000002,27.773722627737147,1456.211122222221,2010.03
2016-11-16,2017-02-27,79.16,47.34,511.3000000000029,27.500961538461034,1016.7063027778495,3550.61
2011-12-12,2012-05-09,99.09,32.29,435.7000000000007,27.837999999999496,1553.3579166666605,3303.37
2002-03-30,2002-08-26,77.35,41.76,811.5000000000073,28.279333333333586,1514.4485277777767,2519.37
2012-12-28,2013-05-07,130.47,37.41,370.60000000000946,28.23587786259471,1364.2359222222221,2900.45
2019-10-01,2020-01-17,126.94,2.68,1126.7999999999738,27.908256880733678,957.6386527777795,2692.18
2004-06-14,2004-10-15,65.52,26.57,722.700000000008,27.531451612902828,1271.327647222246,3157.01
2007-11-14,2008-04-02,149.45,15.41,722.099999999984,27.409929078014308,1423.129286111107,2763.75
2017-07-06,2017-11-03,148.3,49.44,606.7999999999884,28.331404958677975,1243.4667611111217,3343.17
2009-09-25,2010-01-04,83.22,33.52,642.9000000000015,27.801960784313753,953.5151166666474,2554.7
1999-11-03,2000-02-27,102.29,36.52,630.0000000000014,27.08034188034183,1180.0921666666654,3230.16
2019-11-06,2020-02-16,110.07,46.21,794.5999999999767,28.03786407766928,978.3533472222334,2767.82
2012-07-17,2012-11-06,140.13,9.22,778.5999999999949,27.935398230088598,1126.3740388888618,2784.69
2021-11-01,2022-02-12,87.36,43.23,495.09999999999127,28.026923076924366,1001.8868555555237,2915.44
2013-05-27,2013-10-09,166.66,40.43,589.3000000000029,27.669852941175872,1421.0300777777957,3057.61
2020-01-16,2020-04-27,73.45,18.57,165.69999999997526,28.702912621360298,1129.723544444525,3331.87
2004-08-30,2004-12-24,114.78,21.61,1321.0000000000055,27.231623931623982,1028.9564194444683,3089.8
2010-04-19,2010-09-10,184.77,2.26,985.0999999999985,28.375172413792964,1419.2121555555495,3406.78
2009-05-05,2009-09-24,89.97,47.71,875.7999999999993,28.009790209790168,1453.4556472221957,3081.0
2022-05-29,2022-10-17,188.54,2.58,1128.1999999999898,27.977464788731904,1358.049799999906,3343.7
2016-03-05,2016-06-30,189.53,36.57,557.1000000000204,29.2203389830506,1201.790574999919,3452.18
2011-04-21,2011-08-08,59.43,17.73,528.0999999999804,28.202727272727962,1146.1169944443973,2910.26
2011-01-30,2011-06-11,154.91,33.11,426.6999999999862,27.97142857142997,1437.7937777777915,3559.54
2000-04-03,2000-08-26,61.81,40.13,875.9000000000005,28.01438356164385,1474.7066583333308,2528.82
2000-06-18,2000-10-27,167.82,31.98,789.5999999999985,27.574242424242527,1335.387402777791,2985.53
2022-08-19,2022-11-17,86.5,14.63,633.6000000000058,27.64835164835101,887.9808138888329,3122.81
2007-04-18,2007-08-02,83.66,42.61,731.6000000000095,28.390654205607504,1056.8626111110934,3243.54
2015-05-03,2015-09-04,163.76,1.61,735.900000000016,28.407999999999536,1292.8451833333238,3569.49
2004-08-18,2004-12-10,149.39,7.56,1283.7000000000062,27.256521739130307,1044.1991888889097,3284.97
2012-11-28,2013-04-10,197.07,21.27,656.3000000000029,27.87388059701497,1362.6993111110933,3742.86
2001-09-27,2002-01-12,105.52,29.75,638.8000000000038,27.443518518518463,1095.7869055555475,2985.1
2015-03-05,2015-07-03,88.36,48.23,485.20000000001164,28.75289256198376,1293.7810638888695,2925.99
2000-05-03,2000-09-22,168.91,41.85,886.5000000000018,27.80349650349654,1437.553083333336,3219.39
2013-10-25,2014-03-16,78.79,34.75,438.6999999999862,27.436363636364817,1507.759669444451,2830.05
2012-03-19,2012-06-17,106.72,8.09,343.99999999998545,28.63076923076821,959.8807666666544,2813.88
2018-08-28,2018-11-26,185.09,16.47,442.2000000000262,28.02197802197866,902.9746861111344,3528.9
2005-10-03,2006-02-17,90.41,21.55,924.6000000000022,27.139855072464,1392.6186166666703,2280.62
2005-11-11,2006-03-05,198.95,12.53,754.5999999999985,27.112173913043556,1170.8134666666629,3128.89
2007-05-14,2007-10-07,163.4,46.46,912.2000000000044,28.061904761904604,1448.7053749999832,3902.97
2010-05-15,2010-08-27,199.3,23.99,799.2999999999993,28.22476190476168,994.4752805555545,3294.96
2009-12-12,2010-03-16,53.88,7.11,282.1999999999971,27.886315789473805,986.4563249999919,3129.97
2003-10-15,2004-02-21,134.51,30.39,675.5999999999949,27.42923076923051,1311.5031833333414,3158.75
2008-11-27,2009-03-12,158.75,40.39,300.6000000000058,27.363207547170084,1119.6924305555585,3217.99
2005-02-12,2005-06-01,126.73,45.56,376.9000000000051,28.61000000000032,1164.4547027777771,3129.87
2020-09-28,2021-01-01,174.71,20.48,583.7999999999956,28.164583333332605,953.5916027778148,3333.57
2016-04-04,2016-07-12,147.58,41.21,616.8000000000247,29.10200000000041,992.4668583332823,2899.23
2022-05-21,2022-10-02,121.3,19.24,976.7999999999811,28.048148148147934,1292.1602805554721,3530.24
2023-10-06,2024-02-11,51.86,14.9,1326.7999999999884,28.401550387599066,1165.6906722222047,2753.92
2003-01-16,2003-05-22,68.99,36.28,447.40000000000146,28.300000000000104,1334.6294888888915,2952.99
2016-04-11,2016-07-20,131.42,45.79,674.1000000000131,28.957425742574372,973.733216666631,3183.12
2020-03-26,2020-08-10,123.82,21.6,816.0000000000146,29.068115942029156,1379.0018722222885,2425.57
2001-12-31,2002-05-09,157.59,34.03,433.50000000000273,27.964615384615563,1349.734427777781,3469.0
2018-01-07,2018-04-15,179.16,25.14,254.39999999996508,28.038383838383428,1042.2613833333453,2801.77
1998-06-12,1998-10-22,109.02,23.27,763.3000000000002,27.929323308270664,1335.63453611111,3114.9
2021-02-02,2021-06-28,99.29,48.15,527.3999999999651,28.646258503401164,1572.2445472221734,2863.57
2017-04-02,2017-08-13,128.27,30.54,546.3000000000393,28.769402985074453,1452.455377777791,2343.43
2001-07-30,2001-11-15,132.55,0.67,615.0000000000009,27.588990825688246,1131.7537638888862,3502.48
2022-08-10,2022-11-19,167.75,14.45,650.2000000000044,27.658823529411023,1010.9195388888184,3418.65
2016-12-16,2017-05-02,160.16,48.63,572.5000000000146,28.073913043477923,1453.6859555555711,3018.4
2022-06-11,2022-10-26,135.45,32.68,1105.7000000000044,27.891304347825454,1306.6930249999423,3153.67
2017-11-27,2018-04-24,54.22,20.25,564.2999999999374,28.053020134228344,1524.2233777778165,2374.24
2001-01-30,2001-05-15,118.81,28.53,410.5000000000018,28.115094339622544,1139.8097472222216,3143.53
2006-08-08,2006-11-18,81.0,22.52,939.9999999999854,27.59417475728209,940.1339777778048,3138.58
1999-07-29,1999-10-31,180.11,40.7,687.9000000000001,27.39157894736841,886.130705555558,2843.53
1999-02-17,1999-06-13,130.05,15.88,476.40000000000146,27.96495726495731,1244.9140694444432,3095.98
2002-08-06,2002-12-25,184.87,26.11,1325.800000000003,27.54436619718317,1339.9846944444253,2960.51
2003-11-10,2004-04-03,93.76,2.49,505.8999999999978,27.73219178082158,1538.6746472222221,2420.34
2000-11-06,2001-02-09,97.54,14.15,418.800000000002,27.366666666666674,950.5043138888923,2799.3
2014-06-03,2014-09-15,97.81,3.81,462.69999999999345,28.125714285713563,1110.0265277777726,3086.49
2001-09-15,2001-12-27,118.26,45.49,675.2000000000035,27.4249999999999,1047.8885666666629,3256.21
2007-01-14,2007-04-21,51.15,15.45,98.5999999999949,27.80816326530639,1069.8865277777513,2214.59
2017-07-08,2017-10-12,135.07,46.0,517.9999999999782,28.329896907216494,990.7723444444418,3616.18
2006-11-05,2007-02-14,184.29,17.98,899.9999999999964,27.17254901960833,905.4990777777784,3317.85
2000-11-11,2001-02-16,158.75,16.02,351.40000000000146,27.359183673469396,980.41695555556,3033.4
2012-01-14,2012-06-04,95.35,5.02,412.09999999999127,28.1237762237761,1526.8127583333262,2867.57
2006-03-29,2006-08-04,176.07,11.52,558.4999999999982,28.374418604650735,1358.0724138888836,2538.88
2001-01-05,2001-05-10,167.65,4.52,461.20000000000164,27.90317460317448,1345.2410194444437,2999.88
2007-03-03,2007-06-28,197.43,39.03,564.1000000000058,28.509322033898233,1209.1621166666446,2951.08
2009-08-13,2009-12-14,98.56,35.06,784.4000000000015,27.79838709677431,1189.4140666666426,3160.42
2011-09-15,2012-01-24,191.42,29.23,1070.1000000000022,27.649242424242292,1270.7544805555808,3037.8
2020-04-29,2020-09-23,103.57,36.32,881.4000000000087,28.784459459459303,1450.7457638888882,2953.77
2020-06-27,2020-09-28,190.36,37.38,453.199999999968,28.42234042553111,910.6557749999774,2891.47
2014-09-30,2015-02-15,143.14,10.79,935.5999999999876,27.459712230215576,1336.8884777777785,3823.32
2020-11-01,2021-02-01,134.07,17.29,671.9999999999782,27.986021505376158,870.4086916666856,3341.46
2002-04-10,2002-08-15,76.65,1.69,675.3000000000029,28.309375000000216,1284.104669444443,3242.59
2007-11-04,2008-04-01,87.6,11.42,747.599999999984,27.416000000000057,1513.6034749999817,3376.49
2015-12-28,2016-04-05,168.32,37.18,146.40000000000873,28.60100000000035,1089.9333722222364,3158.26
2004-04-08,2004-07-07,59.2,1.03,402.8000000000029,28.469230769230577,959.2056833333445,2167.05
2013-04-10,2013-07-11,70.32,29.22,581.6000000000167,28.320430107525503,919.8023138888893,2909.59
2018-09-29,2019-01-27,68.31,6.79,487.8000000000029,27.8776859504138,1202.674641666672,2795.37
2017-04-23,2017-07-28,80.68,14.6,402.70000000001164,28.709278350515643,1050.761755555548,2601.66
2015-03-28,2015-07-12,184.81,44.83,486.40000000000873,28.803738317756736,1135.1619861110958,3151.98
2020-12-09,2021-03-15,199.58,21.61,425.39999999997235,27.89381443299041,961.3145111111226,2519.96
2017-03-11,2017-07-22,187.45,14.41,460.10000000002765,28.751492537313304,1464.006777777744,2642.83
2022-01-30,2022-06-02,83.83,42.51,582.4000000000015,28.784677419354743,1279.2101194444404,2097.99
2007-09-27,2008-01-13,80.16,9.8,731.8999999999833,27.45963302752259,1057.2993527777726,3025.07
2009-06-07,2009-10-07,62.42,2.78,722.4000000000051,27.855284552845625,1261.763422222204,2880.72
2008-02-01,2008-05-05,147.62,41.06,490.3999999999942,27.737894736842165,956.1710583333042,2705.46
2003-03-16,2003-07-13,130.52,29.13,730.100000000004,28.56999999999989,1219.1578833333515,2760.42
2019-08-25,2019-12-08,102.48,44.59,1093.299999999981,28.038679245282523,917.0194805555511,2754.98
2011-02-06,2011-06-18,170.79,0.87,411.09999999998763,28.05939849624209,1452.9148138888995,3507.16
2017-06-09,2017-11-06,118.41,15.37,688.8000000000029,28.360264900662404,1577.05946111113,3189.68
2023-07-14,2023-11-28,54.11,18.46,1354.699999999997,28.62463768116056,1237.768186111105,2748.86
2021-03-15,2021-08-11,169.33,35.66,760.0999999999767,28.744666666666355,1540.0391749999544,2703.71
2004-07-24,2004-10-25,63.37,42.1,606.7000000000044,27.380851063829198,953.0472111111194,1758.23
2023-07-13,2023-11-19,172.67,27.78,1204.5000000000073,28.651538461538998,1186.9387944444316,3206.01
2003-10-22,2004-02-21,54.82,6.91,662.2999999999938,27.39999999999974,1233.737508333339,2550.98
2007-03-23,2007-07-25,84.47,24.34,798.8000000000138,28.467199999999952,1241.2783777777586,2945.05
2016-12-29,2017-05-27,66.78,3.14,666.7000000000189,28.264666666666358,1589.676849999989,3150.0
2020-07-22,2020-11-30,117.68,39.39,693.9999999999854,28.257575757575097,1311.7124861110933,2245.05
2016-06-06,2016-10-26,129.8,8.77,820.599999999984,27.888111888111684,1464.0110583333299,2744.39
2023-06-02,2023-09-27,141.25,37.74,897.3000000000247,28.863559322034835,1108.5271861111687,3125.02
2020-01-19,2020-04-21,51.33,22.72,115.89999999997963,28.681914893618323,1043.9939305556181,3376.16
2017-04-12,2017-08-09,193.68,33.29,483.40000000003056,28.75583333333319,1302.8044305555522,3218.93
2019-11-19,2020-03-04,82.45,12.55,735.3999999999796,28.098130841121495,1028.2631638888852,2752.4
2005-01-02,2005-05-12,174.94,18.49,310.70000000000255,28.23969465648895,1409.751758333332,2539.78
2015-08-26,2015-12-01,184.14,41.4,781.699999999968,28.06020408163289,883.0849055555664,2823.58
2001-05-24,2001-08-30,185.65,2.05,476.7999999999993,28.025252525252597,1014.4401194444454,3178.54
2016-10-21,2017-03-14,194.95,19.76,875.4000000000015,27.55655172413781,1418.702005555635,3146.85
2014-04-16,2014-08-15,111.61,9.82,502.90000000000873,28.46147540983597,1316.3732305555168,3016.03
1999-01-10,1999-04-22,84.22,46.46,283.800000000002,27.758252427184523,1102.864902777776,2810.87
2018-09-14,2019-01-14,147.99,49.85,575.0,27.971544715447628,1222.8604000000196,3470.84
2020-05-31,2020-09-06,132.96,45.94,496.3000000000029,28.65959595959555,993.5542944444314,2863.53
2014-12-08,2015-03-31,188.7,34.77,387.09999999998035,27.650000000000308,1198.0176500000016,3476.12
1998-03-02,1998-06-10,154.7,4.87,422.29999999999984,29.36633663366337,1053.0228722222237,2774.67
2001-03-15,2001-07-19,139.14,5.83,602.5000000000009,28.334645669291366,1333.7562583333329,2745.72
2007-01-06,2007-05-25,185.5,42.79,412.59999999999854,27.9885714285717,1507.7487611110773,3096.3
2015-01-21,2015-06-08,151.9,25.16,505.1999999999971,28.375539568346035,1479.8645305555474,2534.51
2006-11-03,2007-03-17,191.64,10.65,940.1999999999935,27.277037037037424,1269.0479444444354,2660.0
2016-06-19,2016-10-23,110.35,6.37,700.2999999999884,27.81338582677156,1301.8878472222568,2827.82
2023-11-08,2024-03-12,134.91,14.02,1064.0,28.518253968256186,1195.5674444444448,2972.93
2017-08-24,2017-11-28,139.56,13.22,535.4999999999927,28.163917525773737,937.5146333333541,2810.28
2012-11-16,2013-04-05,133.7,38.56,703.3000000000029,27.824113475177388,1434.3513555555328,2791.7
2000-12-05,2001-03-06,88.66,3.62,245.90000000000055,27.313043478260823,968.6048222222271,2766.03
2008-03-03,2008-07-24,192.4,28.3,958.5999999999949,28.00347222222192,1427.5918388888895,3050.07
1999-06-26,1999-10-07,180.35,8.39,649.1999999999985,27.49230769230775,1007.715975000001,3646.96
2023-10-21,2024-02-09,77.59,23.44,1215.1999999999825,28.36160714286026,1018.8442111111362,3174.63
2015-11-18,2016-02-19,139.03,17.9,321.0,28.12872340425631,971.3627694445167,2932.11
1998-10-29,1999-03-19,128.17,13.74,978.2000000000019,27.220422535211263,1367.3585805555545,3671.62
1999-11-30,2000-03-09,169.99,21.57,520.6000000000022,27.18910891089111,1009.1182055555519,3527.64
2002-08-21,2002-11-26,93.41,13.96,869.5000000000018,27.53877551020411,963.0606916666511,1969.96
2002-08-14,2002-12-29,98.02,7.79,1317.0000000000036,27.52826086956528,1292.4668444444287,3075.71
2006-02-09,2006-05-30,87.53,44.7,336.4999999999982,28.31351351351262,1192.2430138888994,3000.14
2017-01-05,2017-05-18,132.76,38.89,497.300000000032,28.272388059701058,1445.1901111110928,2639.8
2018-03-05,2018-06-17,55.76,46.07,754.199999999968,28.760000000000165,1019.0850444444222,3330.24
2008-03-08,2008-06-11,190.82,16.5,663.0999999999985,27.976041666666635,962.6332833333217,3522.87
2006-08-19,2006-12-29,116.02,24.05,1468.1999999999825,27.500000000000437,1143.8573666666925,3233.38
2006-12-18,2007-04-07,106.17,38.14,286.8999999999978,27.52792792792811,1151.2047916666415,3083.58
2007-04-15,2007-08-25,167.32,26.81,816.8000000000065,28.306766917293256,1333.270944444419,2974.59
2020-07-14,2020-11-27,123.26,46.1,772.599999999984,28.26715328467094,1351.825130555546,2982.79
2019-04-29,2019-08-10,134.9,41.57,503.40000000000146,28.976923076923974,1022.6714083333354,2890.85
2005-11-09,2006-03-22,66.38,21.43,822.7999999999975,27.223880597014816,1375.7376333333268,2510.88
2018-07-05,2018-11-19,134.39,18.97,604.7000000000116,28.03623188405755,1376.26279722224,3024.71
2022-07-18,2022-12-01,57.56,21.27,944.4999999999927,27.764963503649337,1323.7390444443736,2606.19
2001-06-20,2001-09-23,129.81,15.63,512.1999999999998,27.785416666666833,1014.3244416666676,3365.73
1999-07-29,1999-12-02,68.18,43.6,882.8000000000002,27.28897637795269,1216.165083333337,2136.31
2004-12-30,2005-05-09,97.18,18.51,340.0000000000018,28.18625954198502,1401.3921194444447,2842.29
2022-07-21,2022-11-19,103.26,2.65,829.8000000000102,27.70081967213067,1183.177969444383,2476.24
2001-03-23,2001-07-17,145.84,4.73,594.7000000000007,28.33760683760687,1219.1576555555566,3648.0
2006-09-14,2006-12-16,118.97,0.6,1002.0999999999876,27.49893617021348,829.0814138889145,3101.81
2017-01-10,2017-06-09,106.21,47.58,662.0000000000364,28.35298013244987,1598.8249888888822,2550.03
2017-08-13,2017-12-19,114.2,4.74,792.5999999999767,28.144961240310167,1237.4899083333876,3388.69
1998-06-04,1998-10-01,150.17,40.05,686.0000000000001,28.02166666666664,1208.417652777778,2624.35
2005-11-06,2006-03-31,176.26,29.89,839.4999999999982,27.305479452054534,1509.9680416666597,3536.41
1998-10-22,1999-01-26,108.35,38.6,858.3000000000009,27.07628865979381,878.1158361111111,3404.79
2021-07-05,2021-11-10,100.56,31.83,800.7000000000044,28.29302325581499,1272.0917416666489,2434.92
2020-10-03,2021-01-16,70.55,3.43,716.0,28.083018867924142,1012.6260138889193,2381.48
2004-10-15,2005-02-21,113.81,46.4,1199.7000000000025,27.283076923076944,1184.0650888888995,2319.76
2004-01-13,2004-05-11,183.41,16.22,292.99999999999636,28.30999999999955,1320.1737888888965,3047.14
