field_id,crop,variety,soil_type,planting_date,harvest_date,fertilizer_kg_ha,pesticide_l_ha,yield_kg_ha
185,Maize,B,clay,2021-11-16,2022-04-03,192.18,43.1,4835.92
138,Paddy,C,clay,2018-06-14,2018-10-14,176.73,43.03,5877.93
164,Jowar,A,loam,2008-06-25,2008-11-07,60.87,32.08,3182.76
46,Paddy,C,clay,2010-10-28,2011-03-10,94.32,11.61,5705.05
122,Paddy,B,sandy,2015-11-07,2016-03-26,150.6,0.91,4580.22
162,Maize,C,sandy,2004-03-11,2004-07-26,131.68,12.08,4290.86
66,Jowar,C,loam,2011-06-12,2011-09-23,131.72,32.83,3296.22
159,Maize,C,loam,2003-06-09,2003-10-17,194.34,2.12,4462.69
94,Maize,A,sandy,2021-04-11,2021-08-03,185.19,12.74,5010.75
93,Jowar,C,clay,2000-12-02,2001-03-25,87.1,41.74,2772.19
44,Paddy,B,loam,2002-12-29,2003-05-10,145.96,15.5,4663.25
181,Maize,C,loam,2016-09-22,2017-01-20,109.13,1.86,5624.8
21,Maize,A,loam,2005-01-16,2005-06-12,111.3,8.85,4192.63
108,Maize,C,clay,1998-10-11,1999-01-28,186.91,23.77,4764.88
43,Paddy,A,clay,2007-08-07,2007-12-19,80.9,25.36,5187.91
108,Maize,C,loam,2005-11-23,2006-03-08,143.21,12.47,5363.32
105,Jowar,B,loam,2007-03-31,2007-08-24,93.12,49.72,2707.57
169,Cotton,A,sandy,2010-09-25,2011-01-07,83.31,36.78,2282.0
89,Maize,B,sandy,2022-12-21,2023-05-15,52.25,49.94,5487.77
110,Cotton,A,sandy,2010-05-10,2010-09-04,115.84,30.65,2076.44
123,Cotton,A,sandy,2018-11-23,2019-04-10,69.14,29.44,2274.95
26,Jowar,C,loam,2015-05-26,2015-09-23,141.86,6.59,3170.21
168,Paddy,A,clay,1998-02-14,1998-05-18,120.23,41.67,5299.44
87,Cotton,A,loam,2002-07-19,2002-12-10,75.33,5.28,2608.08
66,Paddy,A,sandy,2001-04-26,2001-09-10,166.05,12.5,6496.9
39,Cotton,A,clay,2009-07-16,2009-12-06,135.69,4.4,2711.37
131,Jowar,A,loam,2020-09-08,2020-12-25,76.72,11.99,3065.73
91,Cotton,C,loam,2008-01-02,2008-05-08,65.65,38.65,2596.37
167,Maize,B,loam,2021-04-15,2021-08-29,179.72,33.81,6293.63
68,Cotton,A,loam,2017-01-24,2017-06-12,153.76,27.99,2722.46
38,Jowar,A,loam,2020-03-02,2020-06-27,151.06,40.24,3861.93
112,Paddy,C,sandy,2023-07-13,2023-11-16,86.14,7.39,6456.99
23,Paddy,B,loam,2006-06-20,2006-09-27,97.34,21.98,5659.76
11,Paddy,A,loam,2002-03-20,2002-08-14,72.75,9.6,4609.87
140,Cotton,B,sandy,2007-04-04,2007-08-03,186.93,33.35,2989.16
129,Paddy,A,clay,2004-10-04,2005-02-28,143.93,18.73,7529.25
43,Maize,A,loam,2001-01-09,2001-04-26,119.91,15.43,4221.47
100,Jowar,C,loam,2013-08-09,2013-11-18,171.39,44.55,3349.2
150,Paddy,A,loam,2012-04-29,2012-08-03,196.09,43.57,6588.5
131,Maize,A,clay,2008-05-15,2008-09-26,53.06,33.31,4993.66
158,Maize,A,sandy,2020-10-05,2021-02-18,155.41,23.46,4644.96
195,Jowar,A,loam,2002-03-09,2002-08-03,84.35,0.85,3672.0
27,Cotton,A,sandy,2000-05-20,2000-09-17,53.06,33.34,2568.22
122,Jowar,B,clay,2000-02-18,2000-07-06,70.67,25.83,3271.91
111,Cotton,C,sandy,2007-05-01,2007-09-17,56.24,28.12,2454.54
127,Jowar,C,clay,2012-10-07,2013-02-11,92.15,30.12,2813.26
4,Paddy,A,clay,2005-08-10,2006-01-02,73.24,48.22,6617.36
95,Paddy,B,clay,2008-01-12,2008-05-02,94.31,20.69,5981.05
73,Jowar,C,clay,2017-03-12,2017-06-26,119.35,1.04,2588.79
175,Jowar,B,sandy,1999-11-17,2000-02-28,51.82,36.35,2900.15
38,Paddy,C,clay,2022-05-27,2022-10-15,191.4,18.5,6073.19
166,Cotton,C,clay,2004-11-18,2005-03-15,53.6,42.78,1826.22
102,Paddy,C,clay,2020-06-24,2020-10-11,158.53,6.34,6803.16
97,Cotton,B,loam,2016-07-11,2016-11-04,144.97,8.44,2914.59
93,Paddy,B,clay,2015-09-17,2016-02-07,135.02,34.47,5949.03
156,Cotton,C,loam,2007-03-02,2007-07-05,171.2,48.71,3102.79
88,Paddy,B,loam,2005-03-09,2005-07-12,150.27,11.09,6081.63
134,Cotton,B,loam,2002-04-05,2002-08-15,107.36,21.51,2637.93
159,Paddy,A,loam,2010-08-02,2010-11-30,160.19,11.64,6415.46
61,Paddy,A,loam,2012-02-11,2012-06-21,175.46,42.51,6612.06
184,Jowar,C,clay,2007-09-20,2008-02-10,146.88,16.53,3428.37
44,Cotton,A,sandy,1999-11-12,2000-03-30,174.22,45.91,2402.98
44,Maize,B,loam,2005-12-21,2006-04-11,126.25,22.96,5093.93
148,Jowar,A,loam,2000-10-25,2001-03-07,193.85,23.61,3164.86
27,Jowar,B,loam,2004-03-15,2004-07-18,123.51,33.44,2602.28
148,Cotton,B,sandy,2010-08-22,2010-12-08,131.92,5.16,1982.5
94,Paddy,A,loam,2006-11-18,2007-03-07,148.01,37.72,5137.07
122,Cotton,B,sandy,2011-03-23,2011-08-06,95.5,48.66,2069.91
113,Maize,B,loam,2005-09-11,2005-12-10,149.15,29.26,5142.03
76,Paddy,A,loam,2017-01-24,2017-05-27,118.3,18.15,5547.32
111,Maize,C,clay,2009-10-22,2010-02-12,83.0,23.59,4806.97
136,Jowar,B,loam,2005-07-02,2005-11-14,86.77,28.33,3702.41
174,Paddy,B,loam,2023-06-02,2023-10-06,142.15,47.77,6561.47
72,Paddy,A,loam,2014-10-26,2015-03-09,119.11,9.73,6441.43
181,Paddy,C,clay,2015-05-09,2015-09-16,168.17,8.22,5151.78
173,Cotton,B,clay,2002-09-22,2002-12-29,123.86,28.48,2351.09
123,Jowar,A,clay,2002-07-04,2002-10-03,64.7,13.94,2953.26
58,Maize,C,clay,2019-12-29,2020-04-14,186.89,2.08,5270.95
57,Cotton,A,clay,2019-01-21,2019-06-20,117.0,3.83,3061.7
134,Jowar,B,loam,2019-07-07,2019-10-28,190.47,45.86,3678.54
135,Cotton,B,clay,2004-05-17,2004-08-17,145.69,42.92,2877.87
68,Jowar,B,loam,2000-04-07,2000-07-30,157.17,40.77,3019.99
112,Maize,C,sandy,1999-11-19,2000-03-02,119.28,9.5,4525.4
146,Paddy,C,sandy,2022-08-18,2022-12-22,192.96,11.71,7704.45
117,Maize,B,loam,2007-08-20,2007-12-23,136.63,5.3,5785.64
99,Paddy,B,clay,2020-07-08,2020-11-03,171.64,28.19,6527.64
151,Paddy,B,sandy,2006-03-28,2006-08-24,71.78,33.34,4776.71
26,Paddy,B,sandy,2015-12-13,2016-03-13,165.35,44.26,4891.95
5,Cotton,C,sandy,2007-09-11,2007-12-27,123.92,3.8,2077.76
34,Cotton,A,clay,1999-01-22,1999-04-25,128.55,7.33,2119.81
170,Maize,B,sandy,2013-01-23,2013-06-04,50.34,33.91,4838.82
20,Cotton,A,sandy,2012-06-09,2012-09-11,113.22,31.98,2068.58
36,Cotton,A,sandy,2021-08-18,2021-12-27,176.37,39.63,2870.91
2,Jowar,C,sandy,2007-01-24,2007-04-25,99.68,12.09,3248.58
23,Paddy,C,loam,2010-07-16,2010-10-22,63.26,11.8,6306.19
143,Paddy,C,loam,2010-02-21,2010-07-06,192.76,46.89,7353.28
56,Cotton,A,clay,2016-03-12,2016-08-01,152.86,47.75,2737.29
80,Cotton,C,sandy,2005-05-15,2005-08-20,197.97,44.76,2580.21
4,Cotton,C,clay,2016-03-09,2016-08-06,73.4,44.9,2559.45
5,Maize,C,loam,2006-06-06,2006-10-24,51.81,2.41,5073.69
95,Jowar,B,clay,2000-07-07,2000-10-21,93.9,23.1,3547.59
79,Maize,A,loam,2023-08-08,2024-01-02,192.18,32.86,6219.64
167,Paddy,C,loam,2023-12-20,2024-03-28,161.6,8.12,5641.87
128,Cotton,A,clay,2013-04-14,2013-08-30,187.0,25.56,2739.24
117,Maize,B,sandy,2001-10-24,2002-03-11,150.09,42.61,5152.51
68,Jowar,C,clay,2007-09-08,2008-01-01,82.19,19.58,3605.75
157,Jowar,A,sandy,2013-08-09,2013-12-07,60.92,31.36,2718.86
87,Cotton,A,sandy,2009-11-10,2010-03-30,76.66,49.34,2107.92
68,Cotton,B,sandy,2016-11-06,2017-03-17,63.52,36.84,1756.86
88,Jowar,A,clay,2023-01-05,2023-04-25,77.14,21.39,3020.44
38,Maize,B,loam,2014-09-17,2015-02-01,52.24,19.45,5006.16
79,Maize,C,clay,2018-06-01,2018-09-20,110.3,27.66,5061.05
195,Paddy,B,sandy,2017-10-14,2018-03-06,199.52,15.12,5386.53
89,Jowar,A,clay,2017-09-02,2017-12-26,190.83,46.42,3590.39
199,Cotton,B,sandy,2005-09-20,2006-01-18,114.07,20.16,2370.88
26,Paddy,C,clay,2007-01-08,2007-05-03,98.62,8.46,6684.62
10,Cotton,A,sandy,2016-02-07,2016-06-26,77.19,1.29,2553.76
126,Jowar,A,sandy,2005-08-29,2006-01-05,113.61,16.96,3510.16
155,Jowar,C,sandy,2008-11-03,2009-02-19,182.56,40.86,2511.73
107,Paddy,B,sandy,2016-02-24,2016-06-26,190.23,3.98,4180.67
95,Maize,A,sandy,2004-05-16,2004-08-19,135.9,49.57,5423.54
67,Paddy,B,clay,2002-09-21,2002-12-30,58.83,11.31,6636.61
10,Cotton,C,sandy,2012-07-04,2012-10-08,165.02,46.75,2189.61
91,Maize,A,sandy,2014-06-28,2014-09-28,197.76,15.75,4989.48
43,Paddy,A,sandy,2009-09-16,2009-12-22,121.18,16.2,6159.11
133,Paddy,B,sandy,2005-04-08,2005-08-11,79.26,5.46,5885.74
41,Paddy,C,sandy,2005-02-23,2005-06-07,133.55,42.79,6156.15
46,Paddy,A,sandy,1998-07-11,1998-10-24,60.69,29.08,4851.71
179,Cotton,C,loam,2000-01-16,2000-04-24,61.78,10.59,2121.89
182,Jowar,A,sandy,1999-01-26,1999-05-27,78.95,22.29,2180.08
22,Maize,C,clay,2004-09-02,2004-12-25,78.73,47.01,4807.53
126,Paddy,A,clay,1999-11-06,2000-02-23,137.61,40.25,5088.03
30,Jowar,B,loam,2012-07-11,2012-11-03,154.45,45.78,3551.34
9,Maize,B,loam,2005-06-14,2005-11-05,113.75,31.95,5197.88
47,Cotton,A,clay,2011-02-06,2011-07-03,92.67,45.17,2456.67
79,Cotton,B,loam,2009-01-10,2009-05-26,185.21,19.94,2201.87
134,Jowar,C,clay,2015-03-11,2015-07-12,100.54,35.05,2314.76
91,Maize,A,loam,1998-04-11,1998-07-26,75.7,5.97,5547.35
51,Jowar,B,clay,2007-07-29,2007-11-05,150.45,3.77,2363.36
160,Cotton,A,sandy,2007-09-24,2008-01-17,76.59,33.23,1966.05
195,Jowar,B,sandy,2002-01-24,2002-06-17,104.44,39.25,3124.15
99,Cotton,A,clay,2003-11-09,2004-02-23,138.62,44.3,2080.53
198,Maize,A,clay,2000-08-27,2000-11-25,67.15,24.14,4053.41
87,Jowar,C,loam,2019-03-06,2019-06-04,148.17,19.28,2977.48
11,Cotton,B,clay,2021-12-02,2022-04-30,167.92,40.3,2772.82
179,Maize,B,loam,2016-10-28,2017-03-17,61.09,45.54,5169.82
193,Maize,A,loam,2013-01-02,2013-04-21,133.04,10.33,5958.06
78,Jowar,A,sandy,2013-05-21,2013-10-01,91.6,18.64,2386.96
56,Jowar,A,loam,2000-09-01,2000-12-26,73.36,17.12,2424.34
90,Paddy,C,loam,2011-05-16,2011-10-08,107.13,5.58,4500.7
3,Maize,B,loam,2005-05-06,2005-09-21,82.57,5.47,4586.03
190,Maize,A,loam,2015-08-30,2015-12-06,192.49,44.04,5485.63
156,Paddy,C,clay,1999-09-27,2000-01-29,61.02,16.43,6209.36
7,Cotton,A,clay,1999-12-15,2000-03-24,171.99,48.25,2560.65
23,Maize,B,clay,1999-09-15,2000-01-29,76.66,19.93,4908.16
104,Maize,C,sandy,2013-08-04,2013-12-22,128.38,45.93,3818.77
47,Maize,A,loam,2006-01-12,2006-06-02,140.82,13.42,4419.08
131,Jowar,B,clay,2010-10-03,2011-02-22,135.38,34.94,2956.4
113,Maize,A,sandy,2010-11-18,2011-03-02,82.52,8.82,3885.08
36,Paddy,A,loam,2008-12-20,2009-04-18,152.03,0.52,6854.42
62,Jowar,B,clay,2005-06-27,2005-11-10,56.65,18.62,2856.53
8,Paddy,B,clay,2003-06-20,2003-09-18,103.83,5.05,5129.87
152,Cotton,A,loam,2012-02-10,2012-07-01,59.26,33.39,1984.12
122,Jowar,B,loam,2016-04-13,2016-08-05,114.98,32.1,3009.71
124,Jowar,B,sandy,1999-01-28,1999-05-04,143.87,14.62,2224.52
186,Jowar,C,clay,2008-07-07,2008-10-15,53.44,32.84,2278.67
80,Cotton,B,loam,2008-03-07,2008-06-28,176.05,31.59,2864.56
195,Cotton,B,loam,2015-07-14,2015-10-19,63.39,40.76,2529.95
79,Cotton,A,clay,2003-03-01,2003-06-12,53.29,23.69,1922.57
76,Jowar,A,clay,2013-04-20,2013-08-19,62.74,20.12,3032.11
65,Jowar,B,sandy,2020-02-05,2020-06-17,90.33,17.13,2494.65
90,Cotton,B,sandy,2011-07-14,2011-11-10,81.7,16.79,2385.27
10,Maize,B,loam,2022-09-25,2023-01-11,172.84,35.85,6008.79
53,Maize,C,sandy,2003-11-18,2004-02-23,101.7,39.86,5373.57
84,Jowar,C,loam,1998-01-05,1998-05-27,83.33,7.25,3001.98
47,Jowar,B,clay,2020-10-11,2021-01-22,126.53,0.63,2533.59
126,Paddy,C,loam,2008-12-19,2009-04-30,137.19,37.74,6328.12
53,Cotton,B,sandy,2011-09-05,2011-12-24,142.81,36.7,2555.32
88,Paddy,C,clay,2014-06-15,2014-09-22,100.63,20.5,5388.89
37,Maize,C,sandy,2018-02-12,2018-06-18,197.52,20.73,4635.18
153,Cotton,A,loam,1999-04-27,1999-08-01,111.56,9.59,2144.53
24,Paddy,A,clay,2015-09-18,2016-01-14,70.87,37.68,5793.9
160,Maize,C,sandy,2007-08-06,2007-12-04,50.05,18.89,4334.97
51,Paddy,C,clay,2011-07-05,2011-11-12,135.4,1.5,4705.55
183,Maize,A,sandy,2010-09-20,2011-01-02,92.95,16.91,4818.59
127,Cotton,B,loam,2014-12-19,2015-04-01,146.8,11.24,2535.05
52,Jowar,A,loam,2011-02-26,2011-06-26,104.59,45.03,3268.35
91,Maize,A,sandy,2004-11-28,2005-03-07,166.33,6.3,5146.82
