date,temp_max_C,temp_min_C,precip_mm,rain_mm,sunshine_h
1998-01-01,26.9,25.8,14.3,14.3,10.581388888888888
1998-01-02,26.8,25.5,32.1,32.1,8.1543
1998-01-03,28.5,25.8,6.4,6.4,9.688902777777779
1998-01-04,27.2,26.0,23.7,23.7,7.066569444444445
1998-01-05,28.3,26.0,8.4,8.4,10.359069444444446
1998-01-06,28.0,27.4,0.5,0.5,11.077716666666666
1998-01-07,28.0,27.4,0.6,0.6,11.052372222222223
1998-01-08,27.5,26.1,10.2,10.2,10.134161111111112
1998-01-09,27.0,25.9,6.4,6.4,11.033477777777778
1998-01-10,28.0,26.3,3.8,3.8,10.854805555555556
1998-01-11,27.9,27.5,0.0,0.0,10.892775
1998-01-12,28.2,27.4,0.2,0.2,10.99114722222222
1998-01-13,28.3,25.9,6.3,6.3,7.685491666666667
1998-01-14,28.2,27.7,0.0,0.0,10.971819444444446
1998-01-15,28.3,27.4,0.0,0.0,10.568758333333333
1998-01-16,28.0,27.5,0.0,0.0,10.957436111111111
1998-01-17,27.9,27.2,0.0,0.0,11.082155555555556
1998-01-18,28.5,27.4,0.2,0.2,11.08801111111111
1998-01-19,27.8,26.5,1.5,1.5,10.918452777777778
1998-01-20,28.1,26.6,0.0,0.0,11.012236111111111
1998-01-21,28.4,26.9,0.2,0.2,10.96035
1998-01-22,28.3,27.5,0.0,0.0,11.13936111111111
1998-01-23,28.2,27.8,0.0,0.0,11.087225
1998-01-24,28.0,26.9,0.3,0.3,11.149761111111111
1998-01-25,28.3,27.3,0.1,0.1,11.154780555555556
1998-01-26,28.0,26.4,1.6,1.6,11.017644444444443
1998-01-27,28.0,27.0,1.0,1.0,11.107766666666667
1998-01-28,28.0,27.0,0.7,0.7,11.08423611111111
1998-01-29,28.0,27.0,0.2,0.2,11.032427777777777
1998-01-30,28.5,27.4,1.1,1.1,11.065169444444445
1998-01-31,28.4,26.4,1.0,1.0,11.013275
1998-02-01,28.2,27.0,1.1,1.1,10.989444444444445
1998-02-02,28.1,27.8,0.0,0.0,11.134177777777778
1998-02-03,28.0,27.4,0.4,0.4,10.997558333333332
1998-02-04,27.9,27.5,0.2,0.2,11.029491666666667
1998-02-05,28.0,27.4,0.7,0.7,10.97683888888889
1998-02-06,28.5,26.9,0.6,0.6,11.093019444444446
1998-02-07,28.1,26.8,0.1,0.1,11.096433333333334
1998-02-08,28.2,26.5,1.1,1.1,10.93005
1998-02-09,28.2,27.0,0.7,0.7,11.017827777777779
1998-02-10,28.2,27.7,0.4,0.4,11.134191666666666
1998-02-11,28.0,27.8,0.0,0.0,11.222480555555556
1998-02-12,28.0,27.5,0.0,0.0,11.082744444444444
1998-02-13,28.0,27.5,0.0,0.0,11.228327777777778
1998-02-14,27.9,27.2,0.0,0.0,11.231052777777778
1998-02-15,28.0,27.2,0.0,0.0,11.1472
1998-02-16,28.0,27.0,0.3,0.3,11.23611388888889
1998-02-17,28.0,26.5,0.0,0.0,11.267475000000001
1998-02-18,27.9,26.5,0.1,0.1,11.124061111111113
1998-02-19,27.9,27.1,0.0,0.0,11.213344444444445
1998-02-20,27.6,26.8,0.0,0.0,11.185630555555555
1998-02-21,27.9,26.9,0.0,0.0,11.298027777777778
1998-02-22,27.9,27.1,0.0,0.0,11.128788888888888
1998-02-23,28.2,27.0,0.0,0.0,11.218913888888888
1998-02-24,28.8,27.7,0.0,0.0,11.294241666666666
1998-02-25,28.5,27.3,0.0,0.0,11.250747222222223
1998-02-26,28.5,27.5,0.0,0.0,11.28181388888889
1998-02-27,28.9,27.8,0.0,0.0,11.329636111111112
1998-02-28,28.8,27.9,0.0,0.0,11.334944444444446
1998-03-01,28.5,27.9,0.0,0.0,11.340247222222223
1998-03-02,28.4,27.4,0.0,0.0,11.345541666666666
1998-03-03,28.2,27.2,0.0,0.0,11.350825
1998-03-04,28.5,27.5,0.0,0.0,11.356097222222221
1998-03-05,28.5,27.8,0.4,0.4,11.284216666666667
1998-03-06,28.7,27.6,0.2,0.2,11.220619444444445
1998-03-07,28.6,27.9,0.0,0.0,11.371772222222221
1998-03-08,28.9,27.7,0.0,0.0,11.37693888888889
1998-03-09,28.5,28.0,0.0,0.0,11.382069444444443
1998-03-10,29.0,27.8,0.0,0.0,11.387136111111111
1998-03-11,28.9,28.0,0.1,0.1,11.392138888888889
1998-03-12,29.2,27.1,0.3,0.3,11.397152777777778
1998-03-13,28.9,28.0,0.0,0.0,10.917088888888888
1998-03-14,28.8,28.0,0.0,0.0,11.311727777777778
1998-03-15,28.9,27.7,0.0,0.0,11.412216666666668
1998-03-16,28.8,26.6,2.0,2.0,11.417236111111112
